Site code	Site type	Sample date (yyyymmdd)	11Cl-PF3OUDS	4:2FTS	6:2FTS	8:2FTS	9Cl-PF3ONS	FBSA	FHx-SA	FOSA	GenX	NaDONA	N-EtFOSAA linear	N-EtFOSA-M	N-MeFOSAA linear	N-MeFOSA-M	PFBA	PFBS	PFDA	PFDoA	PFDS	PFHpA	PFHpS	PFHxA	PFHxS Branched	PFHxS Linear	PFNA	PFNS	PFOA	PFOS Branched	PFOS Linear	PFPeA	PFPeS	PFTeDA	PFTrDA	PFUnDA
MD_9_Priv	Private supply	20210929	<9.5	<4.7	<19.2	<4.9	<18.8	<50.5	<50.5	<5.1	<5.1	<1.9	<7.8	<5.1	<7.7	<5.1	<10.1	<1.8	<5.1	<5.1	<4.9	<5.1	<4.8	<5.1	<8.8	<3.7	<2.0	<9.7	<2.0	<39.6	<7.4	<2.0	<4.8	<5.1	<10.1	<2.0
ME_1_Priv	Private supply	20211019	<9.5	<1.9	<9.6	<4.9	<18.9	<50.5	<50.5	<5.1	<5.1	<1.9	<3.9	<10.1	<7.7	<20.2	<5.1	<4.5	<2.0	<5.1	<4.9	<5.1	<4.8	<10.1	<8.8	<3.7	<2.0	<9.7	<2.0	<39.6	<7.4	<5.1	<4.8	<5.1	<5.1	<2.0
ME_3_Pub	Public supply	20210927	<9.5	<4.7	<19.2	<4.9	<18.8	<50.5	<50.5	<5.1	<5.1	<1.9	<7.8	<5.1	<7.7	<5.1	<12.5	<1.8	<5.1	<5.1	<4.9	<5.1	<4.8	<5.1	<8.8	<3.7	<2.0	<9.7	<2.0	<39.6	<7.4	<2.0	<4.8	<5.1	<10.1	<2.0
ME_4_Pub	Public supply	20211220	<9.5	<18.9	<19.4	<9.7	<18.8	<101	<50.5	<20.2	<10.1	<1.9	<7.8	<5.1	<3.8	<10.1	<50.5	<9.0	<5.1	<10.1	<9.8	<20.2	<19.3	<50.5	<17.5	<7.5	<5.1	<19.4	<5.1	<19.8	<14.8	<10.1	<4.8	<5.1	<20.2	<5.1
ME_5_Pub	Public supply	20211122	<4.8	<4.7	<9.6	<4.9	<18.8	<50.5	<20.2	<5.1	<5.1	<1.9	<3.9	<10.1	<3.8	<10.1	<5.1	<4.5	<2.0	<5.1	<9.8	<5.1	<4.8	<5.1	<8.8	<3.7	<2.0	<9.7	<2.0	<39.6	<3.7	<2.0	<1.9	<5.1	<5.1	<2.0
ME_6_Pub	Public supply	20211220	<19.1	<1.9	<9.6	<4.9	<47.1	<50.5	<50.5	<10.1	<5.1	<1.9	<3.9	<20.2	<7.7	<50.5	<20.2	<4.5	<2.0	<5.1	<4.9	<5.1	<4.8	<10.1	<8.8	<3.7	<2.0	<9.7	<2.0	<19.8	<7.4	<10.1	<4.8	<5.1	<5.1	<5.1
ME_7_Priv	Private supply	20211208	<4.8	<1.9	<9.6	<4.9	<18.8	<50.5	<50.5	<5.1	<5.1	<1.9	<7.8	<10.1	<7.7	<20.2	<10.1	<4.5	<2.0	<5.1	<9.8	<10.1	<4.8	<10.1	<8.8	<1.5	<2.0	<9.7	<2.0	<19.8	<3.7	<2.0	<4.8	<5.1	<5.1	<5.1
ME_8_Pub	Public supply	20211123	<4.8	<4.7	<9.6	<4.9	<18.8	<50.5	<20.2	<5.1	<5.1	<1.9	<3.9	<10.1	<3.8	<10.1	<5.1	<4.5	<2.0	<5.1	<9.8	<5.1	<4.8	<5.1	<8.8	<3.7	<2.0	<9.7	<2.0	<39.6	<3.7	<2.0	<1.9	<5.1	<5.1	<2.0
ME_9_Priv	Private supply	20211213	<4.8	<1.9	<9.6	<4.9	<18.8	<50.5	<50.5	<5.1	<5.1	<1.9	<7.8	<10.1	<7.7	<20.2	<10.1	<4.5	<2.0	<5.1	<9.8	<10.1	<4.8	<10.1	<8.8	<1.5	<2.0	<9.7	<2.0	<19.8	<3.7	<2.0	<4.8	<5.1	<5.1	<5.1
MI_1_Priv	Private supply	20211031	<9.5	<18.9	<19.4	<9.7	<18.8	<101	<50.5	<20.2	<10.1	<1.9	<7.8	<5.1	<3.8	<10.1	<50.5	<9.0	2.8	<10.1	<9.8	<20.2	<19.3	<50.5	<17.5	<7.5	<5.1	<19.4	<5.1	<19.8	<14.8	<10.1	<4.8	<5.1	<20.2	<5.1
