"station_id","tract_geoid","state_fips","state_name","county_fips","tract_code","site_name","industry","matrix","sample_year","longitude","latitude","pfoa","pfos","total_pfas","reported_pfas_level","total_population","people_of_color","people_of_color_pct","white_non_hispanic_pct","black_non_hispanic_pct","aian_non_hispanic_pct","asian_non_hispanic_pct","nhpi_non_hispanic_pct","other_race_non_hispanic_pct","multiracial_non_hispanic_pct","hispanic_or_latino_pct","median_household_income"
"68","06025012400","06","California","025","012400","Hot Spa Imperial County Landfill","Landfill","Groundwater","2019","-115.670999","33.398546",,,"16","16","835","300","35.9281437125749","64.0718562874251","23.2335329341317","0","0","0","1.67664670658683","4.4311377245509","6.58682634730539","25978"
"69","06065046900","06","California","065","046900","Blythe Class III Waste Management Facility","Landfill","Groundwater","2019","-114.62673","33.70478","1",,"17","17","1804","1266","70.1773835920177","29.8226164079823","5.48780487804878","0","0.277161862527716","0","0","2.93791574279379","61.4745011086475","52311"
"70","06037551102","06","California","037","551102","Downey Industrial Center","Industry","Groundwater","2019","-118.118029","33.93024","2","16",,"17","5388","5054","93.8010393466964","6.19896065330364","5.38233110616184","0","1.74461766889384","0","0.204157386785449","5.15961395694135","81.3103192279139","61713"
"71","06025012301","06","California","025","012301","Salton City Solid Waste Site","Landfill","Groundwater","2019","-115.981388","33.231404",,"1","18","18","3994","3458","86.5798698047071","13.4201301952929","13.7456184276415","0.550826239359039","0.625938908362544","0.150225338007011","0.175262894341512","1.17676514772158","70.1552328492739","44750"
"72","06029005600","06","California","029","005600","Boron Class III Landfill","Landfill","Groundwater","2019","-117.648318","34.990488","1",,"22","22","2698","1813","67.1979243884359","32.8020756115641","7.30170496664196","2.33506300963677","2.85396590066716","0.44477390659748","3.22461082283173","15.7524091919941","35.2853965900667","53170"
"73","06089012702","06","California","089","012702","Intermountain Class III Landfill","Landfill","Groundwater","2019","-121.589533","40.938644",,,"22","22","2750","590","21.4545454545455","78.5454545454545","0.363636363636364","2.29090909090909","1.63636363636364","0","0","3.67272727272727","13.4909090909091","72313"
"74","06107000902","06","California","107","000902","Visalia Solid Waste Disposal Service","Landfill","Groundwater","2019","-119.385547","36.392767",,,"27","27","4430","3344","75.4853273137698","24.5146726862302","0.451467268623025","0.744920993227991","1.46726862302483","0","0","2.84424379232506","69.9774266365689","98542"
"75","06037402403","06","California","037","402403","Spadra Landfill","Landfill","Groundwater","2019","-117.820925","34.047488","1",,"29","29","4826","4176","86.5312888520514","13.4687111479486","2.30004144218815","0.248653128885205","5.07666804807294","0","0.352258599254041","0.994612515540821","77.5590551181102","87536"
"76","06067009307","06","California","067","009307","Elk Grove Class III Landfill","Landfill","Groundwater","2019","-121.35371","38.41485","2",,"29","29","5483","2755","50.2462155754149","49.7537844245851","6.93051249316068","0","15.3200802480394","0","0.218858289257706","8.07951851176363","19.6972460331935","120266"
"77","06073017403","06","California","073","017403","Encinitas II Landfill","Landfill","Groundwater","2019","-117.251173","33.03979",,,"31","31","4730","1065","22.5158562367865","77.4841437632135","0.338266384778013","0","8.13953488372093","0","0.190274841437632","3.02325581395349","10.8245243128964","154886"
