"tract_geoid","state_fips","compound","average_concentration","observation_count","station_count"
"06111000304","06","REPORTED_PFAS_LEVEL","11","2","2"
"06037980013","06","PFOA","4","2","2"
"06037980013","06","PFOS","8","2","2"
"06037980013","06","TOTAL_PFAS","12","2","2"
"06037980013","06","REPORTED_PFAS_LEVEL","12","2","2"
"06093001003","06","PFOA","2","2","2"
"06093001003","06","TOTAL_PFAS","14","2","2"
"06093001003","06","REPORTED_PFAS_LEVEL","14","2","2"
"06079010303","06","TOTAL_PFAS","15","2","2"
"06079010303","06","REPORTED_PFAS_LEVEL","15","2","2"
"06051000102","06","PFOA","3.5","4","4"
"06051000102","06","PFOS","1","2","4"
"06051000102","06","TOTAL_PFAS","36","4","4"
"06051000102","06","REPORTED_PFAS_LEVEL","36","4","4"
"06103000400","06","PFOA","2","2","2"
"06103000400","06","TOTAL_PFAS","21","2","2"
"06103000400","06","REPORTED_PFAS_LEVEL","21","2","2"
"06037460401","06","TOTAL_PFAS","32","2","2"
"06037460401","06","REPORTED_PFAS_LEVEL","32","2","2"
"06093001200","06","PFOA","1","2","2"
"06093001200","06","PFOS","4","2","2"
"06093001200","06","TOTAL_PFAS","39","2","2"
"06093001200","06","REPORTED_PFAS_LEVEL","39","2","2"
"06013320001","06","PFOA","5","2","2"
"06013320001","06","TOTAL_PFAS","40","2","2"
"06013320001","06","REPORTED_PFAS_LEVEL","40","2","2"
"06013392201","06","PFOA","5","2","2"
"06013392201","06","PFOS","15","2","2"
"06013392201","06","TOTAL_PFAS","43","2","2"
"06013392201","06","REPORTED_PFAS_LEVEL","43","2","2"
"06037920200","06","PFOA","6","2","2"
"06037920200","06","PFOS","8","2","2"
"06037920200","06","TOTAL_PFAS","48","2","2"
"06037920200","06","REPORTED_PFAS_LEVEL","48","2","2"
"06013313204","06","PFOA","3","2","2"
"06013313204","06","TOTAL_PFAS","67","2","2"
"06013313204","06","REPORTED_PFAS_LEVEL","67","2","2"
"06111008502","06","PFOA","2","2","2"
"06111008502","06","PFOS","1","2","2"
"06111008502","06","TOTAL_PFAS","73","2","2"
"06111008502","06","REPORTED_PFAS_LEVEL","73","2","2"
"06047002100","06","PFOA","20","2","2"
"06047002100","06","TOTAL_PFAS","91","2","2"
"06047002100","06","REPORTED_PFAS_LEVEL","91","2","2"
