"tract_geoid","state_fips","county_fips","tract_code","total_population","total_population_moe","race_ethnicity_total","white_non_hispanic","black_non_hispanic","aian_non_hispanic","asian_non_hispanic","nhpi_non_hispanic","other_race_non_hispanic","multiracial_non_hispanic","hispanic_or_latino","people_of_color","people_of_color_pct","white_non_hispanic_pct","black_non_hispanic_pct","asian_non_hispanic_pct","hispanic_or_latino_pct","median_household_income","median_household_income_moe","reported_pfas_observation_count","primary_pfas_average","pfoa_observation_count","station_count","primary_pfas_observation_count","pfos_observation_count","measurement_record_count","pfoa_average","total_pfas_average","reported_pfas_average","pfos_average","total_pfas_observation_count","primary_pfas_measure"
"06001405800","06","001","405800","4590","567","4590","479","820","0","2250","0","13","199","829","4111","89.5642701525054","10.4357298474946","17.8649237472767","49.0196078431373","18.0610021786492","68378","13693","0",,"0","0","0","0","0",,,,,"0","PFOA"
"06001405901","06","001","405901","4114","688","4114","175","658","100","1274","26","13","256","1612","3939","95.7462323772484","4.25376762275158","15.9941662615459","30.9674282936315","39.1832766164317","53233","13128","0",,"0","0","0","0","0",,,,,"0","PFOA"
"06001405902","06","001","405902","2969","395","2969","338","270","51","1151","0","15","219","925","2631","88.6156955203772","11.3843044796228","9.09397103401819","38.7672617042775","31.1552711350623","78438","11493","0",,"0","0","0","0","0",,,,,"0","PFOA"
"06001406000","06","001","406000","5157","704","5157","741","1106","31","2052","0","30","287","910","4416","85.631180919139","14.368819080861","21.4465774675199","39.7905759162304","17.6459181694784","60441","13912","0",,"0","0","0","0","0",,,,,"0","PFOA"
"06001406100","06","001","406100","5810","770","5810","752","853","29","1200","19","0","268","2689","5058","87.0567986230637","12.9432013769363","14.6815834767642","20.6540447504303","46.2822719449225","73267","9136","0",,"0","0","0","0","0",,,,,"0","PFOA"
"06001406201","06","001","406201","5344","707","5344","437","358","0","970","157","0","139","3283","4907","91.8226047904192","8.17739520958084","6.69910179640719","18.1511976047904","61.4333832335329","74635","16454","0",,"0","0","0","0","0",,,,,"0","PFOA"
"06001406202","06","001","406202","5257","765","5257","446","237","21","816","3","30","83","3621","4811","91.5160738063534","8.48392619364657","4.50827468137721","15.5221609282861","68.8795891192695","68160","23665","0",,"0","0","0","0","0",,,,,"0","PFOA"
"06001406300","06","001","406300","4378","678","4378","411","638","7","1024","89","301","193","1715","3967","90.6121516674281","9.38784833257195","14.572864321608","23.3896756509822","39.1731384193696","68399","13670","0",,"0","0","0","0","0",,,,,"0","PFOA"
"06001406400","06","001","406400","2370","594","2370","743","308","6","409","83","0","75","746","1627","68.6497890295359","31.3502109704641","12.9957805907173","17.2573839662447","31.4767932489451","80104","32578","0",,"0","0","0","0","0",,,,,"0","PFOA"
"06001406500","06","001","406500","6046","678","6046","603","1137","11","1305","36","84","166","2704","5443","90.0264637777043","9.97353622229573","18.8058220310949","21.584518690043","44.7237843202117","75969","15678","0",,"0","0","0","0","0",,,,,"0","PFOA"
"06001406601","06","001","406601","4426","572","4426","1034","1220","30","816","0","15","148","1163","3392","76.6380478987799","23.3619521012201","27.5643922277451","18.4365115228197","26.2765476728423","80729","11347","0",,"0","0","0","0","0",,,,,"0","PFOA"
"06001406602","06","001","406602","2837","429","2837","413","563","7","474","177","6","131","1066","2424","85.4423686993303","14.5576313006697","19.8449065914699","16.7077899189284","37.5749030666197","74551","13863","0",,"0","0","0","0","0",,,,,"0","PFOA"
"06001406700","06","001","406700","5778","633","5778","2537","540","5","1044","271","25","230","1126","3241","56.092073381793","43.907926618207","9.34579439252336","18.0685358255452","19.4877120110765","134087","40427","0",,"0","0","0","0","0",,,,,"0","PFOA"
"06001406800","06","001","406800","3747","534","3747","1288","806","13","536","54","0","378","672","2459","65.6258340005338","34.3741659994662","21.5105417667467","14.3047771550574","17.9343474779824","127966","15449","0",,"0","0","0","0","0",,,,,"0","PFOA"
"06001406900","06","001","406900","4142","553","4142","1599","531","0","744","45","76","524","623","2543","61.3954611298889","38.6045388701111","12.8198937711251","17.9623370352487","15.0410429744085","166579","25041","0",,"0","0","0","0","0",,,,,"0","PFOA"
"06001407000","06","001","407000","6290","871","6290","978","819","0","1632","13","87","223","2538","5312","84.4515103338633","15.5484896661367","13.0206677265501","25.9459459459459","40.3497615262321","70956","28699","0",,"0","0","0","0","0",,,,,"0","PFOA"
"06001407101","06","001","407101","3545","762","3545","352","435","25","767","0","0","309","1657","3193","90.0705218617772","9.92947813822285","12.2708039492243","21.6361071932299","46.7418899858956","68636","11116","0",,"0","0","0","0","0",,,,,"0","PFOA"
"06001407102","06","001","407102","3996","981","3996","375","746","0","1057","0","12","170","1636","3621","90.6156156156156","9.38438438438438","18.6686686686687","26.4514514514515","40.9409409409409","83125","48009","0",,"0","0","0","0","0",,,,,"0","PFOA"
"06001407200","06","001","407200","6672","914","6672","594","119","0","568","0","26","272","5093","6078","91.0971223021583","8.90287769784173","1.78357314148681","8.51318944844125","76.333932853717","75993","18321","0",,"0","0","0","0","0",,,,,"0","PFOA"
"06001407300","06","001","407300","2513","377","2513","343","176","2","341","0","0","73","1578","2170","86.3509749303621","13.6490250696379","7.00358137684043","13.5694389176283","62.7934739355352","81917","22120","0",,"0","0","0","0","0",,,,,"0","PFOA"
"06001407400","06","001","407400","4311","639","4311","243","1795","31","381","36","0","49","1776","4068","94.3632567849687","5.63674321503132","41.6376710739967","8.83785664578984","41.1969380654141","70991","39119","0",,"0","0","0","0","0",,,,,"0","PFOA"
"06001407500","06","001","407500","3458","650","3458","258","357","0","475","0","0","164","2204","3200","92.539039907461","7.46096009253904","10.3238866396761","13.7362637362637","63.7362637362637","70588","29071","0",,"0","0","0","0","0",,,,,"0","PFOA"
"06001407600","06","001","407600","6771","879","6771","1867","598","19","785","0","16","488","2998","4904","72.4265248855413","27.5734751144587","8.83178260227441","11.5935607738886","44.2770639491951","75132","25165","0",,"0","0","0","0","0",,,,,"0","PFOA"
"06001407700","06","001","407700","4271","419","4271","1866","1308","0","239","0","14","362","482","2405","56.309997658628","43.690002341372","30.6251463357528","5.59587918520253","11.2854132521658","128011","12410","0",,"0","0","0","0","0",,,,,"0","PFOA"
"06001407800","06","001","407800","2523","373","2523","859","499","13","198","0","9","87","858","1664","65.953230281411","34.046769718589","19.778042013476","7.84780023781213","34.0071343638526","105179","44731","0",,"0","0","0","0","0",,,,,"0","PFOA"
"06001407900","06","001","407900","3047","467","3047","1191","481","4","400","0","17","444","510","1856","60.9123728257302","39.0876271742698","15.7860190351165","13.1276665572694","16.7377748605185","89987","30118","0",,"0","0","0","0","0",,,,,"0","PFOA"
"06001408000","06","001","408000","2758","422","2758","1673","175","15","551","0","8","50","286","1085","39.3401015228426","60.6598984771574","6.34517766497462","19.9782451051487","10.3698332124728","216989","38697","0",,"0","0","0","0","0",,,,,"0","PFOA"
"06001408100","06","001","408100","7745","749","7745","2382","2117","6","2123","0","49","401","667","5363","69.244673983215","30.755326016785","27.3337637185281","27.411233053583","8.61200774693351","189891","50131","0",,"0","0","0","0","0",,,,,"0","PFOA"
